sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message,commit_timestamp
feeced9618ee6c522e5b9a38298fff14a62aa407,False,1,4,26,16,6.5,3,110,107,0.08235294117647059,0.9058823529411765,0.5411764705882353,9509,1533,281,7,K8s: Dashboards /apis: Fix library element connections (#106734),1749843639
3fd8ad8476077b69c44172159852162fdf4dc605,False,1,1,2,2,2.0,9,33,24,0.043478260869565216,1.0,1.0,1711,277,53,1,fix(folders): only return continue token if more results (#106667),1749801330
3df3c4b650c72b97c3f6c82eb2410a6bed5a6f2d,False,1,1,2,2,2.0,1,1,0,,,,5062,727,149,1,"[release-12.0.2] Azure: Improved identification of Application Insights resouces (#106570)

* Azure: Improved identification of Application Insights resouces (#106281)

Compare namespace to lowercase URL

(cherry picked from commit e4c9d10bfb33f8b109374808668735b2a529295c)

* Fix feature toggle docs

* Oops",1749723575
e4c9d10bfb33f8b109374808668735b2a529295c,False,1,1,2,2,2.0,1,1,0,,,,5062,727,149,1,"Azure: Improved identification of Application Insights resouces (#106281)

Compare namespace to lowercase URL",1749117814
40ee9e10e2a5dbba9e2dc40e332e60b2e1a7da65,False,1,1,90,90,90.0,7,83,76,0.0,0.0,0.0,5057,727,149,2,"[release-12.0.2] Azure: Fix Application Insights metadata requests (#105838)

Azure: Fix Application Insights metadata requests (#105614)

* Fix App insights metadata requests

- Correctly handle error responses

* Fix linting and always log the error message

* More lint

(cherry picked from commit 844c854d75b0a74478ecce295285b8255c204d3f)

Co-authored-by: Andreas Christou <andreas.christou@grafana.com>",1749649688
f593454e5468ebb06beb21316ffb13b7c98158aa,False,1,1,3,3,3.0,0,17,17,0.8,0.0,0.8,5890,665,156,1,"[release-12.0.2] Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106477)

Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106409)

(cherry picked from commit 1df888c51778ad3c02497d98d521435d990516ea)

Co-authored-by: Vadim Stepanov <vstpme@gmail.com>",1749565674
f20d4895407a1b705f5ca6a69e1e0386eac2dc24,False,1,1,3,3,3.0,0,23,23,0.047619047619047616,0.8571428571428571,0.8571428571428571,6012,673,159,1,"[release-11.6.3] Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106487)

Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106409)

(cherry picked from commit 1df888c51778ad3c02497d98d521435d990516ea)",1749565306
dd4a33adff0d7c317c1aab2dbe3db650393c368b,False,1,1,3,3,3.0,0,23,23,0.047619047619047616,0.8571428571428571,0.8571428571428571,5591,618,144,1,"[release-11.5.6] Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106486)

Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106409)

(cherry picked from commit 1df888c51778ad3c02497d98d521435d990516ea)",1749565304
49f3fa91b36ec7558d052c2edfa61f03ef2dc420,False,1,1,3,3,3.0,0,24,24,0.045454545454545456,0.8636363636363636,0.8636363636363636,5524,611,142,1,"[release-11.4.6] Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106484)

Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106409)

(cherry picked from commit 1df888c51778ad3c02497d98d521435d990516ea)",1749565301
003dc7763721f09c7daa6001e39be89ddcbfc2a5,False,1,1,3,3,3.0,0,24,24,0.045454545454545456,0.8636363636363636,0.8636363636363636,5219,569,130,1,"[release-11.3.8] Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106483)

Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106409)

(cherry picked from commit 1df888c51778ad3c02497d98d521435d990516ea)",1749565298
e9a31cc36ab4bf52053bdab0011c3b2f12fbc9da,False,1,1,3,3,3.0,0,24,24,0.045454545454545456,0.8636363636363636,0.8636363636363636,5221,576,133,1,"[release-11.2.11] Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106482)

* Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106409)

(cherry picked from commit 1df888c51778ad3c02497d98d521435d990516ea)

* fmt",1749565295
3f7a8e7966fa85f96463cc385ee25ac83c9d1d74,False,1,1,3,3,3.0,0,24,24,0.045454545454545456,0.8636363636363636,0.8636363636363636,5168,572,133,1,"[release-11.1.14] Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106481)

* Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106409)

(cherry picked from commit 1df888c51778ad3c02497d98d521435d990516ea)

* fix test",1749565292
7439849323e9034ca50f9ac70290476255cfee7e,False,1,1,3,3,3.0,0,24,24,0.045454545454545456,0.8636363636363636,0.8636363636363636,5045,553,129,1,"[release-11.0.12] Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106480)

* Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106409)

(cherry picked from commit 1df888c51778ad3c02497d98d521435d990516ea)

* fix test",1749565287
1df888c51778ad3c02497d98d521435d990516ea,False,1,1,3,3,3.0,0,17,17,0.8,0.0,0.8,5851,658,154,1,Alerting: Provisioning API returns 403 on quota exceeded for rule group PUT (#106409),1749463942
