sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message
a6c35b6d5e63ce77aaaeec86730427a3083e7dc4,False,1,1,37,37,37.0,37,16,-21,0.0,0.0,0.0,447,75,15,2,"Directly exec ExternalTokenHelper rather than using a SHELL  (#29653)

* [OT] use `new` builtin for visual clarity

`new(ExternalTokenHelper)` is a lot easier to parse than
`(*ExternalTokenHelper)(nil)`

* add `Args` field to `ExternalTokenHelper`

This will be used to store any extra command arguments and allows
`BinaryPath` to hold *just* the binary path.

* remove shell invocation

Since `BinPath` no longer has to hold any additional arguments we can
execute the command directly without inoking the shell first.

* update `testExternalTokenHelper` to make use of the new `Args` field

* updated `ExternalTokenHelper` documentation

* Add changelog entry for token_helper without shell

Currently using 0.txt until we have a PR id.

* Rename 0.txt to 29653.txt

We got a PR ID, so fix the changelog file

---------

Co-authored-by: Roosevelt Burden <rburden@grantstreet.com>
Co-authored-by: Roosevelt Burden <roosevelt.burden@grantstreet.com>"
89276a56b2267ca49041be0bd9c7be7c96d3b94d,False,1,1,7,7,7.0,8,90,82,0.09615384615384616,0.9230769230769231,0.9230769230769231,289,60,10,2,"VAULT-6803: fix listener issue if using `proxy_protocol_behavior` with `deny_unauthorized` for untrusted upstream connections (#27589)


* timeout 'testListenerConnFn' waiting on the server connection after 3 secs

* return the invalid upstream error so the library knows not to stop listening/serving

* update go-proxyproto to use fork/tag

* test that fails before library and code update, but passes afterwards"
59342940fdeba2220554adf62b1452f0552fc5b7,False,1,2,19,14,9.5,2,20,18,0.0,0.0,1.0,11665,1861,369,1,"lock public JWKS generation and re-check cache (#27929)

---------

Co-authored-by: kpcraig <3031348+kpcraig@users.noreply.github.com>"
d8c241838ac05a5a4256e4e805c4a28fc0814ff9,False,1,1,58,58,58.0,25,33,8,0.0,0.0,1.0,1641,278,63,1,"Allow stubmaker to work outside of a git repository (#24678)

Co-authored-by: Violet Hynes <violet.hynes@hashicorp.com>"
3372a9b4db8ca8be4191677f6bfdc327ca70d293,False,1,3,15,10,5.0,5,18,13,1.0,1.0,0.0,2646,473,107,6,"secrets/database: Add usePrivateIP field for cloudsql postgresql instances  (#26828)

* add usePrivateIP params to determine if to use private ip dial option

Signed-off-by: aviv guiser <avivguiser@gmail.com>

* fix the connection_producer.go in mysql plugin

Signed-off-by: aviv guiser <avivguiser@gmail.com>

* Update sdk/database/helper/connutil/sql.go

Co-authored-by: Robert <17119716+robmonte@users.noreply.github.com>

---------

Signed-off-by: aviv guiser <avivguiser@gmail.com>
Signed-off-by: AvivGuiser <aviv.guiser@placer.ai>
Co-authored-by: Robert <17119716+robmonte@users.noreply.github.com>"
12e7c77ecc9d006bdff6b13a1b36cb5e07079a62,False,1,1,4,4,4.0,3,7,4,,,,2692,476,99,1,"TCP Listener: fix bug in parsing TCP listener settings for `proxy_protocol_behavior` (#27459)

* update code and test to support the documented config setting 'deny_unauthorized' rather than 'deny_authorized' which was incorrect

* changelog"
d64856c6c9255c0079db10659e6cc04232692285,False,1,1,27,27,27.0,6,57,51,0.38235294117647056,1.0,1.0,6602,1056,269,2,"fixes auto_join for mDNS provider (#25080)

* fixes auto_join for mDNS provider

* adds a function to format addresses returned by go-discover

* adds copyright header in raft_rest.go

* Adds changelog file for PR #25080, godoc for TestFormatDiscoveredAddr

---------

Co-authored-by: Violet Hynes <violet.hynes@hashicorp.com>"
2a1775f45f63ae485043375f71dc4d705ad256b5,False,1,2,10,6,5.0,2,11,9,0.0,0.0,1.0,21291,3419,74,1,"fix an edge case bug that ""identity_policies"" is nil (#17007)

* check if ""identity_policies"" is nil to fix cli vault login error

* add changelog

* skip add identity_policies to resp when there's no identity_policies associated in token's namespace

This is an edge case, when an entity has identity_policies associated in other namespaces but no identity_policies in this token's namespace, `identityPolicies[out.NamespaceID]` is nil, client side doesn't handle nil which raises error.

* update changelog

---------

Co-authored-by: Violet Hynes <violet.hynes@hashicorp.com>"
2054ffcbfa519e72fe5b025fcd3f22bb05a23c50,False,1,3,55,31,18.333333333333332,59,270,211,0.3851851851851852,0.9481481481481482,0.8074074074074075,10546,1707,378,7,"VAULT-14048: raft-autopilot appears to refuse to remove a node which has left and wouldn't impact stability (#19472)

* ensure we supply the node type when it's for a voter
* bumped autopilot version back to v0.2.0 and ran go mod tidy
* changed condition in knownservers and added some comments
* Export GetRaftBackend
* Updated tests for autopilot (related to dead server cleanup)
* Export Raft NewDelegate

Co-authored-by: Nick Cabatoff <ncabatoff@hashicorp.com>"
e9f9e7d7f044d0171f1886a20f7acad7f1ebf3a8,False,1,1,42,42,42.0,13,143,130,0.20952380952380953,0.20952380952380953,0.9809523809523809,12415,2024,189,3,"Do not generate HMAC keys for CMAC keys on calls to Upgrade (#27156)

* Do not generate HMAC keys for CMAC keys on calls to Upgrade

 - Missed during the initial development of the Transit CMAC feature,
   on initial key creation we did not generate HMAC keys when the key
   type was CMAC. The call to the policy's Upgrade function though
   would treat this key as requiring an upgrade and add one back.
 - Fix this by adding an HMACSupported argument and verifying
   on upgrade for HMAC creation that the key type supports HMAC
 - Add generic test that verifies we aren't changing a key type iota
   value, string it defined and the proper operation of HMACSupported
   and CMACSupported functions

* Add warning to test variable"
57cb563be571599798325ad525075c0d63eef7c1,False,1,1,7,7,7.0,2,8,6,0.0,0.0,0.0,1358,245,54,1,"Fix exponential backoff for api.LifetimeWatcher (#26383)

* Fix exponential backoff for api.LifetimeWatcher

* Add changelog entry"
2fe676e75b39d0e39b0fa23a458345370bca41b7,False,1,2,168,164,84.0,65,379,314,0.20306513409961685,0.9233716475095786,0.9233716475095786,8922,1370,348,9,"Validate OCSP response is signed by expected issuer  (#26091)

* Validate OCSP response is signed by expected issuer and serial number matches request

 - There was a bug in the OCSP response signature logic, it properly
   verified but kept around the ocspRes object around so we ignored
   the errors found and passed the response object back up the stack.
 - Now extract the verification logic into a dedicated function, if
   it returns an error, blank the ocspRes response as we can't trust it.
 - Address an issue that the OCSP requests from multiple servers were
   clobbering each others responses as the index loop variable was not
   properly captured.
 - Add a missing validation that the response was for the serial number
    we requested

* Add cl"
6fca34eace86a4850a7f4e0f7860fc001ba58dea,False,1,4,63,30,15.75,6,481,475,0.2282051282051282,0.8897435897435897,1.0,12563,2016,443,8,Proceed with cert auth login attempts if ocsp_fail_open is true and servers are unreachable (#25982)
94d42235cf28f8194aa0a5ccafd4c67afd344c64,False,1,1,17,17,17.0,4,19,15,1.0,1.0,0.9090909090909091,4349,702,149,2,"Address OCSP client caching issue (#25986)

* Address OCSP client caching issue

 - The OCSP cache built into the client that is used by cert-auth
   would cache the responses but when pulling out a cached value the
   response wasn't validating properly and was then thrown away.

 - The issue was around a confusion of the client's internal status
   vs the Go SDK OCSP status integer values.

 - Add a test that validates the cache is now used

* Add cl

* Fix PKI test failing now due to the OCSP cache working

 - Remove the previous lookup before revocation as now the OCSP
   cache works so we don't see the new revocation as we are actually
   leveraging the cache"
0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,False,1,9,193,53,21.444444444444443,78,263,185,0.0,0.6375838926174496,0.8187919463087249,17298,2792,540,13,"Audit panic fix: PR based on #25605 (#25631)

* PR based on #25605

* changelog

* fix corehelpers"
67c16342d86aec77d7662e67d2950eae077ca9e7,False,1,8,130,42,16.25,59,250,191,0.040268456375838924,0.738255033557047,0.5570469798657718,17522,2726,548,19,"VAULT-24013: Audit regression attempting to recover from panic (#25605)

* Add Logger to BackendConfig

* EntryFormatter use logger and recover panics

* Added TODO to consider

* Add 'name' to entry formatter

* Add test for the panic

* Fix NoopAudit with update params

* emit counter metric even when 0

* Fix vault package tests

* changelog

* Remove old comment during test writing"
83986f342b1c817b06c239e66d403a07fbca5e1c,False,1,2,45,38,22.5,32,16,-16,0.5652173913043478,0.5652173913043478,0.0,5834,862,181,4,"Audit: Extracted SSCT related auditing code to formatter node (#25443)

* Removed unneeded header tracking in log request/log response of audit broker, moved SSCT overwrite to entry formatter

* added changelog"
7463055f077554f4c0802449c59bebed84310fcf,False,1,6,45,16,7.5,37,11,-26,1.0,1.0,1.0,11723,2084,361,8,"Transit: Release locks using defer statements (#25336)

* Transit: Release locks using defer statements

 - Leverage defer statements to Unlock the fetched policy
   to avoid issues with forgetting to manually Unlock during
   each return statement

* Add cl"
58ef5fe47b140ba170c8aec69b33c6e58ab38412,False,1,1,1,1,1.0,0,4,4,0.0,0.0,0.0,1682,251,56,1,"Audit: ensure 'prefix' is supplied to socket audit backends (#25004)

* ensure 'prefix' is supplied to socket audit backends

* changelog"
cfa37138b97147c6b563cd9f5de275562b62cd10,False,1,4,34,22,8.5,16,88,72,0.0,0.7636363636363637,1.0,4654,751,149,3,"VAULT-23122: Audit fix for 'log_raw' issue (#24968)

* Fix for log_raw issue on audit

* Updates and test change

* changelog

* Update test now that the original event won't have the formatted data"
06b9325bb9e6616789c4fe5e7778459ba98a14ab,False,1,5,145,49,29.0,128,239,111,0.4520547945205479,0.863013698630137,1.0,29621,4863,987,13,"fix `-log-file` so that it uses the correct name and only adds timestamps on rotation (#24297)

* fix -log-file so that it uses the correct name and only adds timestamps on rotation

* added some tests for naming/rotation

* changelog

* revert to previous way of getting created time

* remove unused stat

* comment shuffle

* Update changelog/24297.txt

Co-authored-by: Violet Hynes <violet.hynes@hashicorp.com>

* Update website/content/docs/agent-and-proxy/agent/index.mdx

Update 'agent' docs page

Co-authored-by: Sarah Chavis <62406755+schavis@users.noreply.github.com>

* Update website/content/docs/agent-and-proxy/proxy/index.mdx

Update 'proxy' docs page

Co-authored-by: Sarah Chavis <62406755+schavis@users.noreply.github.com>

* Update website/content/docs/commands/server.mdx

Update 'server' docs page

Co-authored-by: Sarah Chavis <62406755+schavis@users.noreply.github.com>

* fix typos

---------

Co-authored-by: Violet Hynes <violet.hynes@hashicorp.com>
Co-authored-by: Sarah Chavis <62406755+schavis@users.noreply.github.com>"
c329ed8d3b02b92dfded30065317c82648d3cae3,False,1,3,43,23,14.333333333333334,12,35,23,1.0,1.0,1.0,44232,7140,1360,3,"api/leader: fix deadlock when namespace is set on leader calls (#24256)

* api/leader: fix deadlock when namespace is set on leader calls

* Add cl"
39762174206ee353e8cb2d1eab2c544723b91c2d,False,1,1,19,19,19.0,1,21,20,0.0,0.0,0.0,1734,252,54,1,"Audit: logging a response uses a separate 5 second timeout (#24238)

* added a 5s timeout to attempts to process nodes in the audit pipeline for logging a response

* added changelog

* ensure we supply namespace to the new context"
8753d08451ac289505dfa3c82d6b339c073a6c29,False,1,1,11,11,11.0,1,102,101,0.23376623376623376,0.922077922077922,0.961038961038961,4305,689,145,2,"backport of commit bcbd45b380d2cf776cb3cd920f03291301cee998 (#24199)

Co-authored-by: Steven Clark <steven.clark@hashicorp.com>"
d1a1dd46b8cfdd69e6e4738a2cc898a615a90b0f,False,1,1,11,11,11.0,1,102,101,0.23376623376623376,0.922077922077922,0.961038961038961,4305,689,145,2,"backport of commit bcbd45b380d2cf776cb3cd920f03291301cee998 (#24198)

Co-authored-by: Steven Clark <steven.clark@hashicorp.com>"
d20526b09b6b84ad1122c187f84a819ce8b04a90,False,1,1,11,11,11.0,1,102,101,0.23376623376623376,0.922077922077922,0.961038961038961,4305,689,145,2,"backport of commit bcbd45b380d2cf776cb3cd920f03291301cee998 (#24197)

Co-authored-by: Steven Clark <steven.clark@hashicorp.com>"
c029f6fb102f856ae64e8df3ab84cc2c1bd2d663,False,1,1,5,5,5.0,17,57,40,0.17391304347826086,0.9130434782608695,0.17391304347826086,2168,368,73,1,"PKI: Do not set NextUpdate OCSP field when ocsp_expiry is 0 (#24192) (#24194)

* Do not set NextUpdate OCSP field when ocsp_expiry is 0

* Add cl

Co-authored-by: Steven Clark <steven.clark@hashicorp.com>"
09300240cb46d1f22f8202cdb9d3b53c8006bdc0,False,1,1,5,5,5.0,17,56,39,0.17391304347826086,0.9130434782608695,0.17391304347826086,2289,395,73,1,"backport of commit 53040690a2bb89a71b723cd888411182295abcd6 (#24195)

Co-authored-by: Steven Clark <steven.clark@hashicorp.com>"
a28a42bcaf729311a4cf5380617312d4a2aad81f,False,1,1,5,5,5.0,17,56,39,0.17391304347826086,0.9130434782608695,0.17391304347826086,2289,395,73,1,"backport of commit 53040690a2bb89a71b723cd888411182295abcd6 (#24196)

Co-authored-by: Steven Clark <steven.clark@hashicorp.com>"
bcbd45b380d2cf776cb3cd920f03291301cee998,False,1,1,11,11,11.0,1,102,101,0.23376623376623376,0.922077922077922,0.961038961038961,4305,689,145,2,"Handle expired OCSP responses from server (#24193)

* Handle expired OCSP responses from server

 - If a server replied with what we considered an expired OCSP response (nextUpdate is now or in the past), and it was our only response we would panic due to missing error handling logic.

* Add cl"
53040690a2bb89a71b723cd888411182295abcd6,False,1,1,5,5,5.0,17,56,39,0.17391304347826086,0.9130434782608695,0.17391304347826086,2289,395,73,1,"PKI: Do not set NextUpdate OCSP field when ocsp_expiry is 0 (#24192)

* Do not set NextUpdate OCSP field when ocsp_expiry is 0

* Add cl"
402f3ef8e1ad05c99303186c9a3555638ec237d0,False,1,2,53,28,26.5,31,135,104,0.10344827586206896,0.4482758620689655,1.0,3906,699,131,2,"Address a panic when exporting RSA public keys in transit (#24054) (#24116)

* Address a panic export RSA public keys in transit

 - When attempting to export the public key for an RSA key that
   we only have a private key for, the export panics with a nil
   deference.
 - Add additional tests around Transit key exporting

* Add cl

Co-authored-by: Steven Clark <steven.clark@hashicorp.com>"
9a2857a66a0c3ca3f75a5a23d931befe99dd83ba,False,1,2,52,28,26.0,29,135,106,0.10227272727272728,0.45454545454545453,1.0,4106,735,140,2,"backport of commit 92682f33ce4cd29324c43ef2197e725504bc850c (#24117)

Co-authored-by: Steven Clark <steven.clark@hashicorp.com>"
92682f33ce4cd29324c43ef2197e725504bc850c,False,1,2,52,28,26.0,29,135,106,0.10227272727272728,0.45454545454545453,1.0,4106,735,140,2,"Address a panic when exporting RSA public keys in transit (#24054)

* Address a panic export RSA public keys in transit

 - When attempting to export the public key for an RSA key that
   we only have a private key for, the export panics with a nil
   deference.
 - Add additional tests around Transit key exporting

* Add cl"
0f5f648c1c9505e975ea2d479aa5e9f27bb1d935,False,1,1,8,8,8.0,6,6,0,,,,17648,2776,645,3,"fix `log_requests_level` misconfiguration (#24056)

* use the correct raw value for setting log requests level"
b19562db9a8c1b65ea660ed0d51aaf9498a9887d,False,1,2,12,10,6.0,4,12,8,0.0,0.0,0.0,16176,2551,400,2,[VAULT-21461] Do not error when token policy type lookup fails (#24023)
8fa560568af397b245106f548151800f41028ed3,False,1,1,64,64,64.0,19,48,29,0.0,0.0,0.0,2627,411,80,2,"Revert changes to STS leases but keep the ttl field (#20034)

* revert STS lease changes, now create a lease for STS credentials but keep the ttl
Co-authored-by: Calvin Leung Huang <1883212+calvn@users.noreply.github.com>"
9739270d7b780e02b68d1f0c0fbb1bce31278e50,False,1,1,2,2,2.0,1,1,0,,,,32103,5180,945,2,ensure we are handling the error returned from attempting to set the rotation config (#23751)
d0501db90f2b36eb535b2526ed04a364f9f06340,False,1,3,28,19,9.333333333333334,1,30,29,0.0,0.0,0.0,3278,618,109,3,"Forbid setting auto_rotate_period on transit managed keys (#23723)

* Forbid setting auto_rotate_period on transit managed keys

 - Prevent and guard against auto-rotating managed keys as we
   generate an invalid key version without the uuid field set.
 - Hook in the datakey generation api into managed key encryption.

* Add cl"
88fb88e3db45cbc45b963cd17a3fdec6eea910b5,False,1,1,44,44,44.0,16,31,15,0.0,0.0,1.0,2151,345,77,1,"Audit: eventlogger sink node reopen on SIGHUP (#23598)

* ensure nodes are asked to reload audit files on SIGHUP

* added changelog"
dbfaa6f81a156ec1dcb85d8d76941d4ac70c91fb,False,1,3,62,47,20.666666666666668,14,51,37,0.0,0.0,0.2,8487,1228,272,9,"Stop processing ACME verifications when active node is stepped down (#23278)

- Do not load existing ACME challenges persisted within storage on non-active nodes. This was the main culprit of the issues, secondary nodes would load existing persisted challenges trying to resolve them but writes would fail leading to the excessive logging.
    - We now handle this by not starting the ACME background thread on non-active nodes, while also checking within the scheduling loop and breaking out. That will force a re-reading of the Closing channel that should have been called by the PKI plugin's Cleanup method.

- If a node is stepped down from being the active node while it is actively processing a verification, we could get into an infinite loop due to an ErrReadOnly error attempting to clean up a challenge entry

- Add a maximum number of retries for errors around attempting to decode,fetch challenge/authorization entries from disk. We use double the number of ""normal"" max attempts for these types of errors, than we would for normal ACME retry attempts to avoid collision issues. Note that these additional retry attempts are not persisted to disk and will restart on every node start

- Add a 1 second backoff to any disk related error to not immediately spin on disk/io errors for challenges."
a074bf9cbfffb10807fcc8559a6630047bf4a111,False,1,1,16,16,16.0,16,29,13,0.6,0.8,1.0,1326,230,43,4,Support mlock and custom tmpdir for containerized plugins (#23215)
873243df026504b23caf0f572ce630ca80cca650,False,1,3,38,32,12.666666666666666,31,41,10,0.0,0.5,1.0,55713,9711,991,3,"Allow GET for plugin runtime listing (#23171)

Also corrects the error code for reading a non-existent plugin runtime
from 500 -> 404"
8e7c6e80d5e5e9f7f87a2635f9e812d128e6bc56,False,1,1,48,48,48.0,24,55,31,0.0,0.7894736842105263,0.3684210526315789,1801,287,61,6,"events: Ensure pipelines are cleaned up on closing subscription (#23042)

* events: Ensure pipelines are cleaned up on closing subscription
* Re-register formatter node on each subscribe"
e2ff1f1c7117574888db91b4b6027be24533d718,False,1,2,96,84,48.0,1,189,188,0.022556390977443608,0.022556390977443608,0.9473684210526315,13156,2200,523,3,"Clean up unused CRL entries when issuer is removed (#23007)

* Clean up unused CRL entries when issuer is removed

When a issuer is removed, the space utilized by its CRL was not freed,
both from the CRL config mapping issuer IDs to CRL IDs and from the
CRL storage entry. We thus implement a two step cleanup, wherein
orphaned CRL IDs are removed from the config and any remaining full
CRL entries are removed from disk.

This relates to a Consul<->Vault interop issue (#22980), wherein Consul
creates a new issuer on every leadership election, causing this config
to grow. Deleting issuers manually does not entirely solve this problem
as the config does not fully reclaim space used in this entry.

Notably, an observation that when deleting issuers, the CRL was rebuilt
on secondary clusters (due to the invalidation not caring about type of
the operation); for consistency and to clean up the unified CRLs, we
also need to run the rebuild on the active primary cluster that deleted
the issuer as well.

This approach does allow cleanup on existing impacted clusters by simply
rebuilding the CRL.

Co-authored-by: Steven Clark <steven.clark@hashicorp.com>
Signed-off-by: Alexander Scheel <alex.scheel@hashicorp.com>

* Add test case on CRL removal

Signed-off-by: Alexander Scheel <alex.scheel@hashicorp.com>

* Add changelog entry

Signed-off-by: Alexander Scheel <alex.scheel@hashicorp.com>

---------

Signed-off-by: Alexander Scheel <alex.scheel@hashicorp.com>
Co-authored-by: Steven Clark <steven.clark@hashicorp.com>"
f884c3c4cd02fac3750ac133cc38a7b0f2be0457,False,1,3,40,26,13.333333333333334,11,35,24,0.23076923076923078,0.38461538461538464,0.23076923076923078,8697,1302,260,3,"Avoid Vault hang when no communication established with plugin (#22914)

Also fixes a function where we may call go-plugin's client.Client() without ever calling client.Kill(), which could leak plugin processes"
