sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message
a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,False,1,5,213,68,42.6,174,201,27,1.0,0.9565217391304348,0.9565217391304348,8571,1243,208,26,"🐛 bug: Fix handler order in routing (#3321)

* fix handler order in routing
#3312

* fix handler order in routing
#3312

* fix handler order in routing
#3312

* fix handler order in routing
#3312

* fix handler order in routing
#3312

---------

Co-authored-by: Juan Calderon-Perez <835733+gaby@users.noreply.github.com>"
f9eec854fd52e93cbd08efff77a132d554772080,False,1,1,32,32,32.0,24,123,99,0.0,1.0,1.0,8869,1317,93,0,"🐛 fix: Subdomains offset handling (#3495)

* Fix Subdomains offset handling

* Update docs, add extra unit-tests

* update logic and tests

* update logic

* fix lint

* Update docs and tests

* Update ctx.go

* update docs

* update docs

* update docs

* add test case for port

* Update offset documentation"
5eb1432c8140e0b2f5ea9e7c2f71043bf5d29849,False,1,2,13,7,6.5,2,54,52,0.4090909090909091,0.7954545454545454,1.0,1556,238,56,4,"🐛 fix: Middlewares immutable config handling (#3494)

* Respect immutable flag in middlewares

* Add unit-tests for Immutable"
40d14a9c717a3db1222ba480b9a26cddd6cd231b,False,1,1,41,41,41.0,20,62,42,0.4375,1.0,1.0,9350,1345,105,0,"🐛 fix: Embedded struct parsing (#3478)

* Fix ""[Bug]: Incorrect Parsing of Slice by QueryParser() with Embedded Structs #2859""

* Fix ""[Bug]: Incorrect Parsing of Slice by QueryParser() with Embedded Structs #2859"""
81edaf094d058a411a407caee3ce2283417f4267,False,1,1,30,30,30.0,4,40,36,0.0,0.12,1.0,4269,638,208,1,"🐛 fix: Parsing of IPv6 addresses (#3466)

* Expand Test_Utils_Parse_Address

* Update implementation based on Codex

* Remove duplicated func

* Update test fmt

* format

* Update helpers_test.go

Co-authored-by: coderabbitai[bot] <136622811+coderabbitai[bot]@users.noreply.github.com>

* more format

* more format

---------

Co-authored-by: coderabbitai[bot] <136622811+coderabbitai[bot]@users.noreply.github.com>"
cf4074f19ccc509af3de75ecbbbc2c45564d9711,False,1,1,13,13,13.0,17,205,188,0.2230769230769231,1.0,1.0,1197,224,42,1,":bug: bug: fix redirection flash messages violate cookie structure (#3457)

* :bug: bug: fix redirection flash messages violate cookie structure

* fix linter

* add newtestcases

* add testcases"
94e30d7124cbf75bc2055cc49ec1ca7b8d7690e3,False,1,3,110,100,36.666666666666664,67,97,30,1.0,0.7368421052631579,1.0,6820,1066,189,8,"🐛 Fix routing with mount and static (#3454)

* fix routing with mount and static

[Bug]: Static server in sub app does not work #3104
https://github.com/gofiber/fiber/issues/3104
[Bug]: When mounting a subapp with mount, the static route is inaccessible. #3442
https://github.com/gofiber/fiber/issues/3442"
bfef962d868c8783624b40d16bcb6c5a62936850,False,1,1,16,16,16.0,6,10,4,1.0,0.0,1.0,3494,593,191,1,"🐛 fix: Handling of next param position (#3418)

* fix: the non updating found

* Update path.go

Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>

* comment: describing the conditional breaking

* fix: incorrect logic in finding the cluster start chars

* refactor:comment update

Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>

* fix: lint issue

---------

Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>
Co-authored-by: RW <rene@gofiber.io>
Co-authored-by: Juan Calderon-Perez <835733+gaby@users.noreply.github.com>"
283ef3219686f720656787e0d50af1dd300e4401,False,1,1,2,2,2.0,1,5,4,0.0,1.0,1.0,4218,632,206,2,"🩹 Fix: genericParseType parsing large uint leads to overflow (#3315)

* 🩹 Fix: genericParseType parsing large uint leads to overflow

* ♻️ Refactor: use strconv.FormatUint instead of fmt.Sprintf"
87f3f0c8b658978cebe29f4099a02d1fa00532d3,False,1,1,13,13,13.0,7,25,18,1.0,1.0,1.0,4785,753,204,4,":bug: bug: fix client iterators when using break statement (#3357)

* :bug: bug: fix client iterators when using break statement

* fix linter"
42d921d353c0255197245d12a55d9280d0157c10,False,1,1,41,41,41.0,8,33,25,,,,9295,1340,105,0,"🧹 chore: Backport ctx.String() from v3 (#3294)

* Backport ctx.String() to v2

* Fix lint issues"
8e54c8f93809c4257b03548c16cffb8134fb5e3c,False,1,2,4,2,2.0,8,8,0,,,,1581,267,55,0,"🐛 fix: Update binder in form_test (#3336)

* Fix: error binder in form_test

* fix: form tag

* Fix: error package name"
b0bc32b53472bc4891b25dc0cf2dc049554b4cf9,False,1,1,2,2,2.0,1,86,85,0.09722222222222222,0.4861111111111111,1.0,3715,596,56,0,🩹 Fix: goroutine leakage (#3306)
