sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message
26004c54076ef4bb6e75711f5fd39287d44749d6,False,1,3,69,37,23.0,57,97,40,0.0,0.0,1.0,5510,901,180,9,"vault: set renew increment to lease duration (#26041)

When we renew Vault tokens, we use the lease duration to determine how often to
renew. But we also set an `increment` value which is never updated from the
initial 30s. For periodic tokens this is not a problem because the `increment`
field is ignored on renewal. But for non-periodic tokens this prevents the token
TTL from being properly incremented. This behavior has been in place since the
initial Vault client implementation in #1606 but before the switch to workload
identity most (all?) tokens being created were periodic tokens so this was never
detected.

Fix this bug by updating the request's `increment` field to the lease duration
on each renewal.

Also switch out a `time.After` call in backoff of the derive token caller with a
safe timer so that we don't have to spawn a new goroutine per loop, and have
tighter control over when that's GC'd.

Ref: https://github.com/hashicorp/nomad/pull/1606
Ref: https://github.com/hashicorp/nomad/issues/25812"
716df52788a0b36a8220b4060737dc7a7f499c08,False,1,2,79,58,39.5,0,123,123,0.05263157894736842,0.3157894736842105,0.5526315789473685,16698,2493,519,3,"CNI: migrate from persistent state to ephemeral state during restart (#25093)

In #24650 we switched to using ephemeral state for CNI plugins, so that when a
host reboots and we lose all the allocations we don't end up trying to use IPs
we created in network namespaces we just destroyed. Unfortunately upgrade
testing missed that in a non-reboot scenario, the existing CNI state was being
used by plugins like the ipam plugin to hand out the ""next available"" IP
address. So with no state carried over, we might allocate new addresses that
conflict with existing allocations. (This can be avoided by draining the node
first.)

As a compatibility shim, copy the old CNI state directory to the new CNI state
directory during agent startup, if the new CNI state directory doesn't already
exist.

Ref: https://github.com/hashicorp/nomad/pull/24650"
24fa7439dffdccc0e4071d09dbc47e8325b4eae2,False,1,2,14,7,7.0,11,21,10,0.0,1.0,1.0,417,114,4,1,"cni: use tmpfs location for ipam plugin (#24650)

When a Nomad host reboots, the network namespace files in the tmpfs in
`/var/run` are wiped out. So when we restore allocations after a host reboot, we
need to be able to restore both the network namespace and the network
configuration. But because the netns is newly created and we need to run the CNI
plugins again, this create potential conflicts with the IPAM plugin which has
written state to persistent disk at `/var/lib/cni`. These IPs aren't the ones
advertised to Consul, so there's no particular reason to keep them around after
a host reboot because all virtual interfaces need to be recreated too.

Reconfigure the CNI bridge configuration to use `/var/run/cni` as its state
directory. We already expect this location to be created by CNI because the
netns files are hard-coded to be created there too in `libcni`.

Note this does not fix the problem described for Docker in #24292 because that
appears to be related to the netns itself being restored unexpectedly from
Docker's state.

Ref: https://github.com/hashicorp/nomad/issues/24292#issuecomment-2537078584
Ref: https://www.cni.dev/plugins/current/ipam/host-local/#files"
8164d9e1d4939771a8d230ba6fd8f4f54442f6fe,False,1,1,5,5,5.0,4,22,18,0.07692307692307693,0.7692307692307693,1.0,9476,1426,341,1,"csi: send secrets with snapshot delete command (#26022)

so that -secret arguments make it to the CSI plugin
to carry out the snapshot deletion"
b5faeff233933f550c84875b08d22bd55a083f74,False,1,1,8,8,8.0,4,7,3,,,,2835,454,103,1,"vault: fix bug in logging logic around renewals (#25040)

In #24409 we fixed a bug where some of the error messages we get from Vault
weren't being caught correctly. This fix itself contains a bug where we changed
the logic that logged the non-fatal errors so that it logs when there is no
renewal error.

Ref: https://github.com/hashicorp/nomad/pull/24409
Fixes: https://github.com/hashicorp/nomad/issues/24933"
5d09d7ad0723c133f71a742b1e143d86f9332f92,False,1,1,20,20,20.0,6,72,66,0.2978723404255319,0.9574468085106383,0.9574468085106383,2401,361,85,1,"reset max query time of blocking queries in client after retries (#25039)

When a blocking query on the client hits a retryable error, we change the max
query time so that it falls within the `RPCHoldTimeout` timeout. But when the
retry succeeds we don't reset it to the original value.

Because the calls to `Node.GetClientAllocs` reuse the same request struct
instead of reallocating it, any retry will cause the agent to poll at a faster
frequency until the agent restarts. No other current RPC on the client has this
behavior, but we'll fix this in the `rpc` method rather than in the caller so
that any future users of the `rpc` method don't have to remember this detail.

Fixes: https://github.com/hashicorp/nomad/issues/25033"
3493551c38bcaa41d015de09e63eed54bd8fb08a,False,1,1,3,3,3.0,7,58,51,0.2222222222222222,0.9629629629629629,0.9629629629629629,1972,278,52,2,"docker: surface image pull progress error (#24981)

set() on the future, so the caller can handle it
instead of wait()ing forever and causing the
allocation to get stuck ""pending"""
62ef621582d5e9d6da544d9baaadfb39b502fc07,False,1,1,26,26,26.0,12,89,77,0.11940298507462686,1.0,0.9402985074626866,1997,282,54,4,"docker: respect image_pull_timeout (#24991)

I believe the docker driver stopped respecting image_pull_timeout
in Nomad 1.9.0 in 981ca3604965b6934a96559634887ee443106bfb

this makes the timeout apply again"
beae92cd0be102fc56d82d7ad29079b24ae3fee0,False,1,5,115,51,23.0,10,228,218,0.09032258064516129,0.6516129032258065,0.6516129032258065,117912,18618,3269,5,"cancel waiting evals when allocs reconnect (#25923)

When a disconnected alloc reconnects, the follow-up evaluation is left pending
and the followup eval ID field isn't cleared. If the allocation later fails, the
followup eval ID prevents the server from creating a new eval for that event.

Update the state store so that updates from the client clear the followup eval
ID if the allocation is reconnecting, and mark the eval as canceled. Update the
FSM to remove those evals from the eval broker's delay heap.

Fixes: https://github.com/hashicorp/nomad/issues/12809
Fixes: https://hashicorp.atlassian.net/browse/NMD-302"
48b1b01e69d31bab56fea8895e6713c1a012cf3a,False,1,1,129,129,129.0,99,180,81,0.7346938775510204,1.0,1.0,713,128,30,7,"prevent client deadlock and incorrect timing on stop_on_client_after (#25946)

The `disconnect.stop_on_client_after` feature is implemented as a loop on the
client that's intended to wait on the shortest timeout of all the allocations on
the node and then check whether the interval since the last heartbeat has been
longer than the timeout. It uses a buffered channel of allocations written and
read from the same goroutine to push ""stops"" from the timeout expiring to the
next pass through the loop. Unfortunately if there are multiple allocations that
need to be stopped in the same timeout event, or even if a previous event has
not yet been dequeued, then sending on the channel will block and the entire
goroutine deadlocks itself.

While fixing this, I also discovered that the `stop_on_client_after` and
heartbeat loops can synchronize in a pathological way that extends the
`stop_on_client_after` window. If a heartbeat fails close to the beginning of
the shortest `stop_on_client_after` window, the loop will end up waiting until
almost 2x the intended wait period.

While fixing both of those issues, I discovered that the existing tests had a
bug such that we were asserting that an allocrunner was being destroyed when it
had already exited.

This commit includes the following:
* Rework the watch loop so that we handle the stops in the same case as the
  timer expiration, rather than using a channel in the method scope.
* Remove the alloc intervals map field from the struct and keep it in the
  method scope, in order to discourage writing racy tests that read its value.
* Reset the timer whenever we receive a heartbeat, which forces the two
  intervals to synchronize correctly.
* Minor refactoring of the disconnect timeout lookup to improve brevity.

Fixes: https://github.com/hashicorp/nomad/issues/24679
Ref: https://hashicorp.atlassian.net/browse/NMD-407"
