sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message
26820219cd7b448b10dc5d7f567b1a8857102f60,False,1,1,22,22,22.0,11,61,50,0.0,1.0,1.0,752,143,19,1,"cli: ensure acl token read -self works (#16445)

Fixes a regression in #16044

The consul acl token read -self cli command should not require an -accessor-id because typically the persona invoking this would not already know the accessor id of their own token."
dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,False,1,2,50,27,25.0,17,140,123,0.05154639175257732,0.5567010309278351,0.8969072164948454,6403,1071,241,13,Update Vault CA provider namespace configuration (#19095)
edda4f8bf9268f3017ae0c385765e8af4a274136,False,1,1,4,4,4.0,2,2,0,,,,665,120,15,0,"[NET-3700] add `omitempty` to api prepared query targets (#18184)

add `omitempty` to api prepared query targets

Manual backport of c2bbe67714ee7c603447e18c25ad391b8de6226e.

Co-authored-by: Nick Irvine <115657443+nfi-hashicorp@users.noreply.github.com>"
366bd6f89f365c118c271c5aba1eb032adcc5faf,False,1,1,49,49,49.0,20,78,58,0.019230769230769232,0.8653846153846154,1.0,3217,589,122,3,ext-authz Envoy extension: support `localhost` as a valid target URI. (#17821)
9289e680d6dfc91996135ef35855c5d69861675d,False,1,1,12,12,12.0,3,9,6,0.0,0.0,0.0,4458,735,174,1,OSS merge: Update error handling login when applying extensions (#17740)
81d7cc41dcebd30a59e5c92c77728e5a3d9b2f9d,False,1,1,24,24,24.0,9,155,146,0.0,0.9712230215827338,1.0,860,133,43,3,"Use proxy address for default check (#14433)

When a sidecar proxy is registered, a check is automatically added.
Previously, the address this check used was the underlying service's
address instead of the proxy's address, even though the check is testing
if the proxy is up.

This worked in most cases because the proxy ran on the same IP as the
underlying service but it's not guaranteed and so the proper default
address should be the proxy's address."
a76f63a6953a651ceb1b1f7cfdf695f5be54b23d,False,1,3,33,18,11.0,5,33,28,0.0,0.0,1.0,18844,2904,484,1,"config: prevent top-level `verify_incoming` enabling mTLS on gRPC port (#13118)

Fixes #13088

This is a backwards-compatibility bug introduced in 1.12."
597448da4790aeae270e7fda74d355c6fc96756e,False,1,2,53,47,26.5,27,238,211,0.1419753086419753,0.9814814814814815,0.9629629629629629,6988,1228,278,3,"server: ensure that central service config flattening properly resets the state each time (#10239)

The prior solution to call reply.Reset() aged poorly since newer fields
were added to the reply, but not added to Reset() leading serial
blocking query loops on the server to blend replies.

This could manifest as a service-defaults protocol change from
default=>http not reverting back to default after the config entry
reponsible was deleted."
319a0a08cdc57a9d771cf413a12ec1b668663f91,False,1,2,6,4,3.0,3,105,102,0.46808510638297873,1.0,1.0,642,117,16,2,"Fix incorrect severity syslog messages (#12079)

Co-authored-by: Evan Culver <eculver@hashicorp.com>"
922619dfc33572c4f6076fae7e7dce0ec5fe450c,False,1,1,42,42,42.0,25,107,82,0.2,0.78,0.92,3915,641,152,5,"Fix leaked Vault LifetimeRenewers (#12607)

* Fix leaked Vault LifetimeRenewers

When the Vault CA Provider is reconfigured we do not stop the
LifetimeRenewers which can cause them to leak until the Consul processes
recycles. On Configure execute stopWatcher if it exists and is not nil
before starting a new renewal

* Add jitter before restarting the LifetimeWatcher

If we fail to login to Vault or our token is no longer valid we can
overwhelm a Vault instance with many requests very quickly by restarting
the LifetimeWatcher. Before restarting the LifetimeWatcher provide a
backoff time of 1 second or less.

* Use a retry.Waiter instead of RandomStagger

* changelog

* gofmt'd

* Swap out bool for atomic.Unit32 in test

* Provide some extra clarification in comment and changelog"
