sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message,commit_timestamp
9c0b92259737c0baf886619517c3222626c2a247,False,1,4,66,31,16.5,32,34,2,0.0,0.0,0.0,4858,795,165,16,fix: overlapping logs and menu navigation (#11765),1713985182
fd532a37e7a57024fa50de15735439513da91b02,False,1,2,10,6,5.0,7,3,-4,0.0,0.0,0.0,310,68,17,2,fix(desktop): remove overly-aggressive feature flag check (#11748),1713557217
922422a53922e21e4e3e5717b81066a74d065dc1,False,1,1,25,25,25.0,7,18,11,0.0,0.0,1.0,7394,1169,273,2,"fix: do not try to create file shares for non-directories

When creating automatic file shares, ignore any non-directory
bind mounts, e.g. for an individual (normal) file or a special
type like a Unix socket (`/var/run/docker.sock`).

Additionally, there's no need to create a directory if one
does not exist, the API will handle that. However, the check
for existence remains so that `create_host_path: false`
mounts can be ignored.

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1713366723
ff20b641c7f1cce588faea476fbd1a6fdd953b36,False,1,3,47,21,15.666666666666666,21,26,5,1.0,1.0,1.0,4044,652,130,8,"Does not start keyboard manager if there is no tty

Signed-off-by: Joana Hrotko <joana.hrotko@docker.com>",1711648646
d688d3bf22f262445a9c61aa98250c1b3f830657,False,1,1,4,4,4.0,3,1,-2,1.0,1.0,0.0,531,103,19,1,"fix(tracing): batch span exports to prevent blocking

This was a bad configuration (my fault) that meant each span was
exported synchronously, as it ended. That can cause weird behavior
such as stuttering/blocking.

There's really no reason to NOT use the batch processor, it's the
recommended way to configure it. In the future, it might make sense
to tune the intervals based on the fact that Compose is a CLI vs
a long-running server app, but we handle flushing out on exit
already, so it's not a huge deal.

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1705522636
792afb8d13e5d4db5e0f05d27c936c99a28a5c6d,False,1,1,1,1,1.0,0,1,1,0.0,1.0,0.0,3131,494,122,1,"build: use correct values for proxy variables (#10908)

clone variable before we capture a pointer

Signed-off-by: Nicolas De Loof <nicolas.deloof@gmail.com>",1692296728
0363d9260afef4bcc32479c1930766e8ce0cf83c,False,1,1,10,10,10.0,9,3,-6,1.0,1.0,0.0,830,150,31,1,"fix local image removal when `compose down` is ran with `--project-name` (#10558)

Signed-off-by: Nicolas De Loof <nicolas.deloof@gmail.com>",1683823274
caad72713ba81b1fe9548bec3092b3257253708d,False,1,3,177,84,59.0,53,182,129,0.8676470588235294,0.8676470588235294,0.7941176470588235,3563,546,126,10,"up: handle various attach use cases better

By default, `compose up` attaches to all services (i.e.
shows log output from every associated container). If
a service is specified, e.g. `compose up foo`, then
only `foo`'s logs are tailed. The `--attach-dependencies`
flag can also be used, so that if `foo` depended upon
`bar`, then `bar`'s logs would also be followed. It's
also possible to use `--no-attach` to filter out one
or more services explicitly, e.g. `compose up --no-attach=noisy`
would launch all services, including `noisy`, and would
show log output from every service _except_ `noisy`.
Lastly, it's possible to use `up --attach` to explicitly
restrict to a subset of services (or their dependencies).

How these flags interact with each other is also worth
thinking through.

There were a few different connected issues here, but
the primary issue was that running `compose up foo` was
always attaching dependencies regardless of `--attach-dependencies`.

The filtering logic here has been updated so that it
behaves predictably both when launching all services
(`compose up`) or a subset (`compose up foo`) as well
as various flag combinations on top of those.

Notably, this required making some changes to how it
watches containers. The logic here between attaching
for logs and monitoring for lifecycle changes is
tightly coupled, so some changes were needed to ensure
that the full set of services being `up`'d are _watched_
and the subset that should have logs shown are _attached_.
(This does mean faking the attach with an event but not
actually doing it.)

While handling that, I adjusted the context lifetimes
here, which improves error handling that gets shown to
the user and should help avoid potential leaks by getting
rid of a `context.Background()`.

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1692355118
1fdbcb6255479d3955d07ebe699b7baaeb805b32,False,1,11,331,129,30.09090909090909,242,340,98,1.0,0.0,1.0,22576,3673,735,40,"build: pass BuildOptions around explicitly & fix multi-platform issues

The big change here is to pass around an explicit `*BuildOptions` object
as part of Compose operations like `up` & `run` that may or may not do
builds. If the options object is `nil`, no builds whatsoever will be
attempted.

Motivation is to allow for partial rebuilds in the context of an `up`
for watch. This was broken and tricky to accomplish because various parts
of the Compose APIs mutate the `*Project` for convenience in ways that
make it unusable afterwards. (For example, it might set `service.Build = nil`
because it's not going to build that service right _then_. But we might
still want to build it later!)

NOTE: This commit does not actually touch the watch logic. This is all
      in preparation to make it possible.

As part of this, a bunch of code moved around and I eliminated a bunch
of partially redundant logic, mostly around multi-platform. Several
edge cases have been addressed as part of this:
 * `DOCKER_DEFAULT_PLATFORM` was _overriding_ explicitly set platforms
   in some cases, this is no longer true, and it behaves like the Docker
   CLI now
 * It was possible for Compose to build an image for one platform and
   then try to run it for a different platform (and fail)
 * Errors are no longer returned if a local image exists but for the
   wrong platform - the correct platform will be fetched/built (if
   possible).

Because there's a LOT of subtlety and tricky logic here, I've also tried
to add an excessive amount of explanatory comments.

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1693549976
407a0d5b531787443531473d87040b43eabc6f78,False,1,3,174,110,58.0,82,105,23,0.0,1.0,1.0,1216,221,47,9,"up: fix various race/deadlock conditions on exit (#10934)

If running `up` in foreground mode (i.e. not `-d`),
when exiting via `Ctrl-C`, Compose stops all the
services it launched directly as part of that `up`
command.

In one of the E2E tests (`TestUpDependenciesNotStopped`),
this was occasionally flaking because the stop
behavior was racy: the return might not block on
the stop operation because it gets added to the
error group in a goroutine. As a result, it was
possible for no services to get terminated on exit.

There were a few other related pieces here that
I uncovered and tried to fix while stressing this.
For example, the printer could cause a deadlock if
an event was sent to it after it stopped.

Also, an error group wasn't really appropriate here;
each goroutine is a different operation for printing,
signal-handling, etc. If one part fails, we don't
actually want printing to stop, for example. This has
been switched to a `multierror.Group`, which has the
same API but coalesces errors instead of canceling a
context the moment the first one fails and returning
that single error.

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1693493234
