sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message,commit_timestamp
62b7d6ffe96c41a649313c449cd1a03d077e7a29,False,1,1,162,162,162.0,93,130,37,0.0,1.0,1.0,2971,467,106,4,"vault: revert #18998 to fix potential deadlock (#19963)

* Revert ""vault: always renew tokens using the renewal loop (#18998)""
  This reverts commit 7054fe1a8ced1ca2ff66513aad78702dc26167f4.
* test: add case for concurrent Vault token renewal",1707835846
427eab563ac62fc0f28536dca778475e39780bd2,False,1,10,568,390,56.8,42,539,497,0.22727272727272727,0.39015151515151514,0.8636363636363636,18914,2916,590,31,vault hook,1539734009
349c032369373555a0ccf7835184c633cc80b01b,False,1,9,352,90,39.111111111111114,53,1170,1117,0.35927367055771725,0.8261997405966277,0.9831387808041504,20946,3248,618,35,vault: update task runner vault hook to support workload identity (#18534),1697499477
72680531741bdfc40c584159a54aae7a87389c1a,False,1,35,3041,1470,86.88571428571429,8077,464,-7613,0.8975747586531669,0.5210736990817048,0.08876854250058865,245339,38290,7551,154,"vault: Remove legacy token based authentication workflow. (#25155)

The legacy workflow for Vault whereby servers were configured
using a token to provide authentication to the Vault API has now
been removed. This change also removes the workflow where servers
were responsible for deriving Vault tokens for Nomad clients.

The deprecated Vault config options used byi the Nomad agent have
all been removed except for ""token"" which is still in use by the
Vault Transit keyring implementation.

Job specification authors can no longer use the ""vault.policies""
parameter and should instead use ""vault.role"" when not using the
default workload identity.

---------

Co-authored-by: Tim Gross <tgross@hashicorp.com>
Co-authored-by: Aimee Ukasick <aimee.ukasick@hashicorp.com>",1740728402
18fdda6242f2230f6374d5bf371a64edb60a0e49,False,1,2,44,41,22.0,38,39,1,0.0,1.0,1.0,3881,593,132,6,"vault: fix namespace reset for clients with unset namespace (#23491)

The Vault ""logical"" API doesn't allow configuring the namespace on a per-request
basis. Instead, it's set on the client. Our `vaultclient` wrapper locks access
to the API client and sets the namespace (and token, if applicable) for each
request, and then resets the namespace and unlocks the API client.

The logic for resetting the namespace incorrectly assumed that if the Vault
configuration didn't set the namespace that it was canonicalized to the
non-empty string `""default""`. This results in the API client's namespace getting
""stuck"" whenever a job uses a non-default namespace if the configuration value
is empty. Update the logic to always go back to the configuration, rather than
accepting the ""previous"" namespace from the caller.

This changeset also removes some long-dead code in the Vault client wrapper.

Fixes: https://github.com/hashicorp/nomad/issues/22230
Ref: https://hashicorp.atlassian.net/browse/NET-10207",1720016000
0935f443dcf0f3e872f9f530fcf208ad4b8d8981,False,1,6,130,47,21.666666666666668,121,284,163,0.0380952380952381,0.0,0.9904761904761905,70915,12450,1448,12,"vault: support allowing tokens to expire without refresh (#19691)

Some users with batch workloads or short-lived prestart tasks want to derive a
Vaul token, use it, and then allow it to expire without requiring a constant
refresh. Add the `vault.allow_token_expiration` field, which works only with the
Workload Identity workflow and not the legacy workflow.

When set to true, this disables the client's renewal loop in the
`vault_hook`. When Vault revokes the token lease, the token will no longer be
valid. The client will also now automatically detect if the Vault auth
configuration does not allow renewals and will disable the renewal loop
automatically.

Note this should only be used when a secret is requested from Vault once at the
start of a task or in a short-lived prestart task. Long-running tasks should
never set `allow_token_expiration=true` if they obtain Vault secrets via
`template` blocks, as the Vault token will expire and the template runner will
continue to make failing requests to Vault until the `vault_retry` attempts are
exhausted.

Fixes: https://github.com/hashicorp/nomad/issues/8690",1704916142
2f5cf8efae144137b7904885dff33fe6b8d44a32,False,1,7,111,41,15.857142857142858,37,385,348,0.16194331983805668,0.7125506072874493,0.9473684210526315,26317,4381,1003,10,"networking: option to enable ipv6 on bridge network (#23882)

by setting bridge_network_subnet_ipv6 in client config

Co-authored-by: Martina Santangelo <martina.santangelo@hashicorp.com>",1725463030
73ce56ba27055bb0c805ad1d25a701a73d28c22b,False,1,3,231,87,77.0,75,386,311,0.0,0.9054054054054054,0.9054054054054054,1082,229,30,4,networking: refactor building nomad bridge config (#23772),1723657411
730c22656bc334ca239e0041c1ad50e944293056,False,1,17,1472,202,86.58823529411765,17,2488,2471,0.30319148936170215,0.7423167848699763,0.9349881796690307,45564,7554,1436,78,CSI: volume snapshot,1617290212
9da25adc548acaf0443ce4c9f084d053ae496ddc,False,1,14,449,159,32.07142857142857,215,260,45,0.0,1.0,1.0,37162,5782,1252,84,"client: hclog-ify most of the client

Leaving fingerprinters in case that interface changes with plugins.",1539734010
