sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message
032cd5f4426b9d7fb2e5411416da7b18dbd22351,False,1,1,2,2,2.0,1,96,95,0.0,0.2247191011235955,1.0,1289,212,41,1,Fix version in resource identity upgrade request (#36940)
7414a3f76f6eef25a71b6093ad4dd26023711103,False,1,4,25,10,6.25,2,110,108,0.03260869565217391,0.9130434782608695,1.0,6314,989,161,4,"Fix import with optional identity attributes (#36887)

* tfdiags: Support null values when printing objects

* Use type with optional fields when decoding identity config

* Use provider returned identity when importing

* Add test case for import with optional identity attrs"
8213714929b842dec9831531e65f74fe8436f67d,False,1,1,73,73,73.0,8,212,204,0.0,1.0,1.0,2764,457,85,3,"Include identity in import apply UI output (#37044)

* Include identity in import apply UI output

* Add logging to hook ui errors"
88da854f34205126ec27dc7deb4fa0043bc1a8a0,False,1,1,1,1,1.0,0,6,6,0.0,0.0,0.0,988,153,34,1,"fix: avoid sending HEAD request on provider download (#36998)

* fix: avoid sending HEAD request on provider download

Signed-off-by: Or Shachar <orchoock@gmail.com>

* Apply suggestions from code review

---------

Signed-off-by: Or Shachar <orchoock@gmail.com>
Co-authored-by: Liam Cervante <liam.cervante@hashicorp.com>"
4e00e1ecdb5eba4ca0a5f19219752957aedafdef,False,1,1,4,4,4.0,1,71,70,0.0,0.967741935483871,1.0,1765,315,61,1,"fix: Avoid crash on test failure in BinaryOpExpr in function call (#37071)

* fix: Avoid crash on test failure in BinaryOpExpr in function call

* add changelog entry"
c3fb92c1ce2000615a12556307f4a3f64f3a4c61,False,1,1,3,3,3.0,0,7,7,0.0,0.5714285714285714,1.0,859,148,36,1,"Fix `terraform console` crash for ephemeral values (#36267)

We now check if a value has an ephemeral mark before trying to format
it. The check prevents us from passing a marked value to go-cty's
AsString function, which leads to a crash."
de69c2285f6f2f54b7aab0a1dc14bceb786128f5,False,1,1,52,52,52.0,21,73,52,0.26,1.0,1.0,3775,476,100,2,"Fix overly-eager jsonencode (#35984)

* Fix overly-eager jsonencode

* Update internal/genconfig/generate_config_test.go

---------

Co-authored-by: Radek Simko <radeksimko@users.noreply.github.com>"
79a35f39688ddb1d89665c11b4e05ef0b1618fd2,False,1,3,15,11,5.0,3,12,9,0.0,0.0,0.0,3395,488,59,3,lang: Add Extra to avoid duplicate diagnostic in check blocks (#35944)
098234e244e5e21c048c64d07ec4597b79e95900,False,1,3,45,35,15.0,3,108,105,0.7241379310344828,1.0,1.0,7413,1167,279,4,"states: check root output value changes in refresh-only mode (#35812)

* check root output values when determining plan applicability in refresh mode

In refresh-only mode, we do not anticipate proposing any actions; however, a plan is marked as “applyable” if there are changes in the state between runs. Currently, a plan is considered “applyable” only when there are differences in managed resources. This approach seems to overlook changes in root output values. As a result, a plan can be marked as non-applyable, even when there are changes in the root output value, due to the lack of detected changes since only managed resources were checked.

* set 'applyable' to true"
bdc5f152d7ac2ddbdd7fbbb00422c51d2d833ef0,False,1,1,49,49,49.0,21,79,58,0.125,0.9583333333333334,0.8333333333333334,1684,297,53,1,"refactoring: Implied move statements can be cross-package

Terraform uses ""implied"" move statements to represent the situation where
it automatically handles a switch from count to no-count on a resource.
Because that situation requires targeting only a specific resource
instance inside a specific module instance, implied move statements are
always presented as if they had been declared in the root module and then
traversed through the exact module instance path to reach the target
resource.

However, that means they can potentially cross a module package boundary,
if the changed resource belongs to an external module. Normally we
prohibit that to avoid the root module depending on implementation details
of the called module, but Terraform generates these implied statements
based only on information in the called module and so there's no need to
apply that same restriction to implied move statements, which will always
have source and destination addresses belonging to the same module
instance.

This change therefore fixes a misbehavior where Terraform would reject
an attempt to switch from no-count to count in a called module, where
previously the author of the calling configuration had no recourse to fix
it because the change has actually happened upstream."
