sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message
f20a8e7aa02034eddc48e7cc160813883a8935e2,False,1,1,2,2,2.0,1,1,0,,,,1516,424,29,1,cmd: replace deprecate func use (#5170)
d605ebe75a2043199ba53022adaa20be680cf051,False,1,1,63,63,63.0,0,63,63,0.22950819672131148,1.0,1.0,1509,394,29,2,"cmd: add completion command (#4994)

* cmd: add completion command

* error check"
53dd600b4de0c2b169f1eb4450a0f02950912524,False,1,2,69,60,34.5,33,36,3,0.0,0.952755905511811,1.0,2993,576,98,2,cmd: Built-in commands all use RegisterCommand (#2794)
01be1b54a8c9b7e6ea52af8165c583d4d2ebe7e3,False,1,1,4,4,4.0,4,22,18,,,,1897,477,34,2,ci: install xcaddy to fix release flow (#6602)
3ae07a73dc057c3a12486b78872c5e1391ec7cc9,False,1,5,438,129,87.6,4,649,645,0.2956989247311828,0.8145161290322581,0.9435483870967742,4900,798,214,26,"caddytls: clientauth: leaf verifier: make trusted leaf certs source pluggable (#6050)

* Made trusted leaf certificates pluggable into the tls.client_auth.leaf
module

* Added leaf loaders modules: file, folder, pem aand storage

* Cleaned implementation of leaf cert loader modules

* Added tests for leaf certs file and folder loaders

* cmd: fix the output of the `Usage` section (#6138)

* core: OnExit hooks (#6128)

* core: OnExit callbacks

* core: Process-global OnExit callbacks

* ci: bump golangci/golangci-lint-action from 3 to 4 (#6141)

Bumps [golangci/golangci-lint-action](https://github.com/golangci/golangci-lint-action) from 3 to 4.
- [Release notes](https://github.com/golangci/golangci-lint-action/releases)
- [Commits](https://github.com/golangci/golangci-lint-action/compare/v3...v4)

---
updated-dependencies:
- dependency-name: golangci/golangci-lint-action
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>

* Added more leaf certificate loaders tests and cleaned up code

* Modified leaf cert loaders json field names and cleaned up storage loader comment

* Update modules/caddytls/leaffileloader.go

* Update LeafStorageLoader certificates field name

* Upgraded  protobuf version

---------

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: Mohammed Al Sahaf <msaa1990@gmail.com>
Co-authored-by: Matt Holt <mholt@users.noreply.github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>"
4181c79a8130a59c40c76437e15265452422ccb1,False,1,2,70,59,35.0,2,942,940,0.0,0.5277777777777778,0.9791666666666666,13206,2016,584,3,"httpcaddyfile: Add optional status code argument to `handle_errors` directive (#5965)

Co-authored-by: Aziz Rmadi <azizrmadi@Azizs-MacBook-Air.local>"
403732c433b816409e3525a9f49b4cc90abc2486,False,1,1,8,8,8.0,4,142,138,,,,1926,328,80,0,"httpcaddyfile: Reorder some directives (#4311)

We realized we made some mistakes with the directive ordering, so we're making some minor adjustments.

`abort` and `error` don't really make sense to be after other handler directives, because you would expect to be able to ""fail-fast"" and throw an error before falling through to some `file_server` or `respond` typically. So we're moving them up to just before `respond`, i.e. before the common handler directives. 

This is also more consistent with our existing examples in the docs, which actually didn't work due to the directive ordering. See https://caddyserver.com/docs/caddyfile/directives/error#examples

Also, `push` doesn't quite make sense to be after `handle`/`route`, since its job is to read from response headers to push additional resources if necessary, and `handle`/`route` may be terminal so push would not be reached if it was declared outside those. And also, it would make sense to be _before_ `templates` because a template _could_ add a `Link` header to the response dynamically."
931656bd6868a87eef4814cc02b5125a907662bf,False,1,3,149,83,49.666666666666664,66,506,440,0.16524216524216523,0.5726495726495726,1.0,2343,396,84,5,"acmeserver: add policy field to define allow/deny rules (#5796)

* acmeserver: support specifying the allowed challenge types

* add caddyfile adapt tests

* acmeserver: add `policy` field to define allow/deny rules

* allow `omitempty` to work

* add caddyfile support for `policy`

* remove ""uri domain"" policy

* fmt the files

* add docs

* do not support `CommonName`; the field is deprecated

* r/DNSDomains/Domains/g

* Caddyfile docs

* add tests

* move `Policy` to top of file"
3248e4c89f510ad832bc9fb0ed6f6b945355304d,False,1,2,115,113,57.5,27,88,61,0.125,0.55,1.0,5394,865,207,7,logging: Add `zap.Option` support (#5944)
e965b111cdf46109b4ed87e607e8dce5225105f4,False,1,3,1106,820,368.6666666666667,108,2409,2301,0.13652694610778443,0.8107784431137725,1.0,11103,1834,472,41,"tls: modularize trusted CA providers (#5784)

* tls: modularize client authentication trusted CA

* add `omitempty` to `CARaw`

* docs

* initial caddyfile support

* revert anything related to leaf cert validation

The certs are used differently than the CA pool flow

* complete caddyfile unmarshalling implementation

* Caddyfile syntax documentation

* enhance caddyfile parsing and documentation

Apply suggestions from code review

Co-authored-by: Francis Lavoie <lavofr@gmail.com>

* add client_auth caddyfile tests

* add caddyfile unmarshalling tests

* fix and add missed adapt tests

* fix rebase issue

---------

Co-authored-by: Francis Lavoie <lavofr@gmail.com>"
0c57facc67910a6b0994763ac8e6e55e693f20e4,False,1,2,84,81,42.0,0,84,84,0.9629629629629629,0.9629629629629629,1.0,5495,850,224,6,reverseproxy: Add upstreams healthy metrics (#4935)
904a0fa368b7eacac3c7156ce4a1f6ced8f61f34,False,1,2,24,20,12.0,11,13,2,,,,6231,943,246,8,"reverse_proxy: re-add healthy upstreams metric (#6806)

* reverse_proxy: re-add healthy upstreams metric

Signed-off-by: Mohammed Al Sahaf <msaa1990@gmail.com>

* lint

Signed-off-by: Mohammed Al Sahaf <msaa1990@gmail.com>

---------

Signed-off-by: Mohammed Al Sahaf <msaa1990@gmail.com>"
